 4294967295 4.000000  0.000000
 4294967295 3.999684  0.050264
 4294967295 3.998737  0.100520
 4294967295 3.997158  0.150761
 4294967295 3.994948  0.200977
 4294967295 3.992107  0.251162
 4294967295 3.988636  0.301307
 4294967295 3.984534  0.351405
 4294967295 3.979804  0.401447
 4294967295 3.974445  0.451426
 4294967295 3.968459  0.501333
 4294967295 3.961846  0.551161
 4294967295 3.954607  0.600902
 4294967295 3.946744  0.650549
 4294967295 3.938257  0.700092
 4294967295 3.929149  0.749525
 4294967295 3.919420  0.798840
 4294967295 3.909072  0.848028
 4294967295 3.898107  0.897083
 4294967295 3.886527  0.945996
 4294967295 3.874333  0.994760
 4294967295 3.861527  1.043366
 4294967295 3.848111  1.091808
 4294967295 3.834087  1.140077
 4294967295 3.819458  1.188166
 4294967295 3.804226  1.236068
 4294967295 3.788393  1.283774
 4294967295 3.771962  1.331278
 4294967295 3.754935  1.378572
 4294967295 3.737316  1.425648
 4294967295 3.719106  1.472498
 4294967295 3.700309  1.519116
 4294967295 3.680927  1.565495
 4294967295 3.660965  1.611626
 4294967295 3.640424  1.657502
 4294967295 3.619308  1.703117
 4294967295 3.597621  1.748463
 4294967295 3.575366  1.793533
 4294967295 3.552546  1.838319
 4294967295 3.529165  1.882816
 4294967295 3.505227  1.927015
 4294967295 3.480735  1.970909
 4294967295 3.455694  2.014493
 4294967295 3.430107  2.057758
 4294967295 3.403978  2.100699
 4294967295 3.377312  2.143307
 4294967295 3.350112  2.185577
 4294967295 3.322384  2.227502
 4294967295 3.294130  2.269076
 4294967295 3.265357  2.310291
 4294967295 3.236068  2.351141
 4294967295 3.206268  2.391620
 4294967295 3.175962  2.431721
 4294967295 3.145154  2.471438
 4294967295 3.113849  2.510765
 4294967295 3.082053  2.549696
 4294967295 3.049770  2.588224
 4294967295 3.017006  2.626343
 4294967295 2.983765  2.664047
 4294967295 2.950052  2.701331
 4294967295 2.915875  2.738188
 4294967295 2.881236  2.774613
 4294967295 2.846143  2.810600
 4294967295 2.810600  2.846143
